año,Folio,Género,Edad,Municipio de residencia,Estado ,Pais,Grado máximo de estudios,Ocupación,1. ¿En dónde percibe Usted que existe más corrupción? (seleccione 1),4. ¿Con qué frecuencia ha participado en actos de corrupción,4. ¿Con qué frecuencia he experimentado en un acto de corrupción?(seleccione 1),Identificación qué es corrupción [N5. La corrupción es que un servidor público se aproveche de su poder para obtener un beneficio propio],Identificación qué es corrupción [N6. La corrupción es que un particular se aproveche de su poder para obtener un beneficio propio],Identificación qué es corrupción [N7. Para que exista corrupción se requiere del corrupto y del corruptor],Identificación qué es corrupción [N8. Corrupción es que un particular soborne al servidor público],Identificación qué es corrupción [N9. Me queda claro qué es la corrupción],Prom Ident,Causas de la corrupción [N10. La ambición es la causa de la corrupción],Causas de la corrupción [N11. La falta de ética es causa de la corrupción],Causas de la corrupción [N12. Los vínculos de los servidores públicos con los delincuentes son causa de la corrupción],Causas de la corrupción [N13. La falta de sanciones a servidores públicos corruptos hace que la corrupción siga creciendo],Causas de la corrupción [N14. La corrupción es causada por intereses políticos],Causas de la corrupción [N15. La corrupción es causada por intereses personales],Combate [N16. La corrupción hace que existan menos recursos públicos para atender programas sociales],Promedio comb,Acciones para combatir la corrupción [N17. Para disminuir la corrupción es necesario sancionar a los corruptores],Acciones para combatir la corrupción [N18. Para disminuir la corrupción es necesario sancionar a los corruptos],Acciones para combatir la corrupción [N19. Para disminuir la corrupción es necesario incorporar en el sistema educativo materias para educar en una cultura anticorrupción],Acciones para combatir la corrupción [N20. Para disminuir la corrupción es necesario incentivar/motivar la denuncia],Acciones para combatir la corrupción [N21. Para disminuir la corrupción es necesario fortalecer los canales para la denuncia anónima],Acciones para combatir la corrupción [N22. Para disminuir la corrupción es necesario proteger al denunciante],Acciones para combatir la corrupción [N23. Para disminuir la corrupción es necesario dar a conocer los canales de denuncia],Acciones para combatir la corrupción [N24. Para disminuir la corrupción es necesario que la ciudadanía vigile el actuar de la autoridad],Acciones para combatir la corrupción [N25. Para disminuir la corrupción es necesario crear canales accesibles de denuncia],Prom acciones,2. ¿Ha participado en un acto de corrupción?,3. ¿Qué actores deben combatir la corrupción? [a. El Pre1dente de la República es la persona que debe combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [b. El Gobernador es la persona que debe combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [c. El Pre1dente Municipal es la persona que debe combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [d. Yo soy la persona que debe combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [e. Los trán1tos son las personas que deben combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [f. La ciudadanía es quien debe combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [g. Los policías son las personas que deben combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [h. Los diputados locales y federales son las personas que deben combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [i. Los senadores son las personas que deben de combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [j. Los empresarios son las personas que debe combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [k. Los medios de comunicación son los que deben combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [l. Los académicos e investigadores son los que deben combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [m. El Comité de Participación Ciudadana del 1stema Estatal debe combatir la corrupción]
2020,2,Hombre,27,León de los aldamas,Guanajuato,México,Licenciatura,Trabajador ,En las autoridades federales,No deseo Contestar,Me es complicado identificar cuantas veces me he enfrentado a la corrupción,5,5,5,3,5,4.6,2,1,5,5,5,4,5,3.86,5,5,5,5,5,5,5,5,5,5.0,0,1,1,1,1,1,1,1,1,1,0,0,0,1
2020,3,Mujer,39,null,Guanajuato,México,Maestría,Trabajador ,En las autoridades federales,No deseo Contestar,Algunas veces he experimentado la corrupción,5,5,2,5,3,4,5,5,5,5,5,5,5,5.00,5,5,4,4,5,5,5,4,4,4.6,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,4,Hombre,45,León de los aldamas,Guanajuato,México,Maestría,Trabajador ,En todas las anteriores,No deseo Contestar,Me es complicado identificar cuantas veces me he enfrentado a la corrupción,5,5,3,5,5,4.6,5,5,4,5,5,5,5,4.86,5,5,5,5,5,5,5,5,5,5.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,5,Mujer,63,León de los aldamas,Guanajuato,México,Licenciatura,Trabajador ,En las autoridades federales,No deseo Contestar,He experimentado corrupción a diario,1,1,1,1,1,1,2,1,1,1,1,1,1,1.14,1,1,1,1,2,1,1,1,1,1.1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,6,Mujer,36,León de los aldamas,Guanajuato,México,Maestría,Trabajador ,En las autoridades federales,No deseo Contestar,Nunca he experimentado la corrupción,5,5,5,5,5,5,4,5,4,5,4,4,5,4.43,5,5,5,5,5,5,5,5,5,5.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,7,Hombre,42,León de los aldamas,Guanajuato,México,Maestría,Trabajador ,En los Partidos políticos,No deseo Contestar,Nunca he experimentado la corrupción,5,4,5,5,5,4.8,2,3,4,5,5,5,5,4.14,4,5,5,5,5,5,5,5,5,4.9,0,1,1,1,1,1,1,1,1,1,0,1,1,1
2020,8,Hombre,34,León de los aldamas,Guanajuato,México,Maestría,Empresario,En todas las anteriores,En algunas ocasiones he participado en actos de corrupción,perdidos,5,5,5,5,5,5,4,4,5,5,2,5,5,4.29,4,4,5,4,5,5,4,4,4,4.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,9,Mujer,45,León de los aldamas,Guanajuato,México,Maestría,Trabajador ,En todas las anteriores,No he participado en actos de corrupción,perdidos,5,3,5,5,5,4.6,4,4,5,5,5,4,5,4.57,5,5,5,5,5,5,5,5,5,5.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,10,Hombre,44,León de los aldamas,Guanajuato,México,Maestría,Empresario,En las autoridades federales,No deseo Contestar,Algunas veces he experimentado la corrupción,5,5,5,4,5,4.8,4,5,3,4,4,4,5,4.14,4,4,5,5,5,5,5,5,5,4.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,11,Mujer,45,León de los aldamas,Guanajuato,México,Maestría,Trabajador ,En todas las anteriores,No he participado en actos de corrupción,perdidos,5,5,5,5,5,5,5,5,5,5,5,5,4,4.86,4,4,5,5,4,4,4,4,4,4.2,0,1,1,1,1,0,1,1,1,1,1,0,0,1
2020,12,Mujer,49,León de los aldamas,Guanajuato,México,Licenciatura,Trabajador ,En las autoridades estatales,No he participado en actos de corrupción,perdidos,5,5,5,4,5,4.8,4,4,2,2,2,5,4,3.29,5,5,5,5,5,4,4,5,4,4.7,0,1,1,1,1,0,1,0,1,1,1,0,1,1
2020,13,Hombre,45,León de los aldamas,Guanajuato,México,Licenciatura,Empresario,En todas las anteriores,No deseo Contestar,Algunas veces he experimentado la corrupción,5,5,5,5,5,5,4,5,5,5,4,3,5,4.43,5,5,5,5,5,5,4,5,5,4.9,0,1,1,1,1,0,1,1,1,1,1,0,0,1
2020,14,Hombre,28,León de los aldamas,Guanajuato,México,Maestría,Trabajador ,En todas las anteriores,No deseo Contestar,Nunca he experimentado la corrupción,5,3,5,5,5,4.6,5,5,3,3,3,5,5,4.14,3,3,5,5,5,5,5,5,5,4.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0
