CVE_ENTIDAD,ENTIDAD,CVE_MUNICIPIO,MUNICIPIO,CVE_LOCALIDAD,LOCALIDAD,INSTITUCION,NOMBRE_INSTITUCION,ESCUELA,NOMBRE_ESCUELA,CV_CONTROL,CONTROL,CV_SUBCONTROL,C_SUBCONTROL,DOMICILIO,MODALIDAD,ESCUELAS_TEC_ESC,ALUMNOS_TEC_ESC,TEC_HOM_ESC,TEC_MUJ_ESC,NI_TEC_TOTAL_ESC,NI_TEC_HOM_ESC,NI_TEC_MUJ_ESC,EGRE_TEC_TOTAL_ESC,EGRE_TEC_HOM_ESC,EGRE_TEC_MUJ_ESC,TITU_TEC_TOTAL_ESC,TITU_TEC_HOM_ESC,TITU_TEC_MUJ_ESC,DOC_TEC_TOTAL_ESC,DOC_TEC_HOMBRES_ESC,DOC_TEC_MUJERES_ESC,ESC_LIC_ESC,ALUMNOS_LIC_ESC,LIC_HOM_ESC,LIC_MUJ_ESC,NI_LIC_TOTAL_ESC,NI_LIC_HOM_ESC,NI_LIC_MUJ_ESC,EGRE_LIC_TOTAL_ESC,EGRE_LIC_HOM_ESC,EGRE_LIC_MUJ_ESC,TITU_LIC_TOTAL_ESC,TITU_LIC_HOM_ESC,TITU_LIC_MUJ_ESC,DOC_LIC_TOTAL_ESC,DOC_LIC_HOMBRES_ESC,DOC_LIC_MUJERES_ESC,ESC_NORMAL_ESC,ALUMNOS_LIC_ESC_NORMAL,NORMAL_HOM_ESC,NORMAL_MUJ_ESC,NI_NORMAL_TOTAL_ESC,NI_NORMAL_HOM_ESC,NI_NORMAL_MUJ_ESC,EGRE_NORMAL_TOTAL_ESC,EGRE_NORMAL_HOM_ESC,EGRE_NORMAL_MUJ_ESC,TITU_NORMAL_TOTAL_ESC,TITU_NORMAL_HOM_ESC,TITU_NORMAL_MUJ_ESC,DOC_NORMAL_TOTAL_ESC,DOC_NORMAL_HOMBRES_ESC,DOC_NORMAL_MUJERES_ESC,ESC_POS_ESC,ALUM_POS_ESC,POS_HOMBRES_ESC,POS_MUJERES_ESC,NI_POS_TOTALES_ESC,NI_POS_HOMBRES_ESC,NI_POS_MUJERES_ESC,EGRE_POS_TOTAL_ESC,EGRE_POS_HOMBRES_ESC,EGRE_POS_MUJERES_ESC,TITU_POS_TOTAL_ESC,TITU_POS_HOMBRES_ESC,TITU_POS_MUJERES_ESC,DOC_POS_TOTAL_ESC,DOC_POS_HOMBRES_ESC,DOC_POS_MUJERES_ESC
1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0001N,UNIDAD U.P.N. 011 AGUASCALIENTES,01DUP0002H,UNIDAD U.P.N. 011 AGUASCALIENTES,1,P⁄BLICO,5,FEDERAL TRANSFERIDO,CALLE JESUS CONSUELO 226,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,153,14,139,28,1,27,31,1,30,12,3,9,21,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,13,31,16,5,11,0,0,0,7,3,4,13,4,9
1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0003L,INSTITUTO TECNOLOGICO DE ESTUDIOS SUPERIORES DE MONTERREY CAMPUS AGUASCALIENTES,01PSU0004H,INSTITUTO TECNOLOGICO DE ESTUDIOS SUPERIORES DE MONTERREY CAMPUS AGUASCALIENTES,2,PRIVADO,1,PRIVADO,CALLE CARRETERA LOS POCITOS JESUS MARIA KILOMETRO 1.5 0,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,505,289,216,139,82,57,62,33,29,62,33,29,77,48,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,7,RINC”N DE ROMOS,1,RINC”N DE ROMOS,01MSU0006I,UNIVERSIDAD TECNOLOGICA DEL NORTE DE AGUASCALIENTES,01EUT0002T,UNIVERSIDAD TECNOLOGICA DEL NORTE DE AGUASCALIENTES,1,P⁄BLICO,2,ESTATAL,AVENIDA UNIVERSIDAD 1001,ESCOLARIZADA,1,1507,830,677,912,537,375,542,284,258,542,284,258,135,80,55,1,1015,542,473,0,0,0,533,307,226,430,237,193,85,60,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0007H,INSTITUTO ESTATAL DE SEGURIDAD PUBLICA DE AGUASCALIENTES,01ESU0001E,INSTITUTO ESTATAL DE SEGURIDAD PUBLICA DE AGUASCALIENTES,1,P⁄BLICO,2,ESTATAL,CALLE LOS CONOS 105,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,13,5,0,0,0,0,0,0,0,0,0,15,11,4
1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0008G,UNIVERSIDAD VILLASUNCION,01PSU0006F,UNIVERSIDAD VILLASUNCION,2,PRIVADO,1,PRIVADO,AVENIDA LAS AMERICAS 601,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85,53,32,31,21,10,10,9,1,0,0,0,22,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0008G,UNIVERSIDAD VILLASUNCION,01PSU0015N,CIENCIAS BIOMEDICAS,2,PRIVADO,1,PRIVADO,AVENIDA LAS AMERICAS 601,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,411,80,331,196,42,154,74,18,56,36,10,26,31,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0008G,UNIVERSIDAD VILLASUNCION,01PSU0016M,CIENCIAS JURIDICAS,2,PRIVADO,1,PRIVADO,AVENIDA LAS AMERICAS 601,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,158,60,98,64,22,42,71,31,40,80,24,56,33,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0009F,UNIVERSIDAD DEL VALLE DE MEXICO,01PSU0007E,UNIVERSIDAD DEL VALLE DE MEXICO,2,PRIVADO,1,PRIVADO,BOULEVARD JUAN PABLO II 1144,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,416,189,227,60,23,37,115,49,66,55,22,33,60,39,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0010V,CENTRO DE ESTUDIOS SUPERIORES DEL ESTADO DE AGUASCALIENTES,01PSU0008D,CENTRO DE ESTUDIOS SUPERIORES DEL ESTADO DE AGUASCALIENTES,2,PRIVADO,1,PRIVADO,AVENIDA LAS AMERICAS 502,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0011U,UNIVERSIDAD POLITECNICA DE AGUASCALIENTES,01EPO0001X,UNIVERSIDAD POLITECNICA DE AGUASCALIENTES,1,P⁄BLICO,2,ESTATAL,CALLE PASEO SAN GERARDO 207,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2475,1654,821,885,630,255,480,299,181,413,257,156,186,109,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,10,5,9,4,5,6,6,0,5,5,0,10,6,4
