original_language,original_title,popularity,release_date,vote_average,vote_count,revenue,runtime,'Science Fiction', 'Action', 'Adventure','Action', 'Adventure', 'Science Fiction', 'Fantasy', 'Science Fiction', 'Crime', 'Thriller','Comedy', 'Thriller', 'Crime', 'Action','Horror','Animation', 'Comedy', 'Family','Crime','Horror', 'Horror', 'Mystery','Fantasy', 'Comedy', 'Mystery', 'Drama','Adventure', 'Fantasy', 'Family','Comedy','Romance', 'Drama','Thriller','Family', 'Animation', 'Music','Science Fiction','Action','Animation','Drama','Western', 'TV Movie','Thriller','Drama', 'Horror', 'Romance', 'History', 'War', 'Animation', 'Romance', 'Western', 'History','Western','War','Romance', 'Documentary', 'Music','TV Movie','Documentary','Mystery', 'War', 'Western',,'Documentary','Music','Adventure', 'TV Movie','Crime', 'Documentary','Fantasy','Family','History','History','Music','War','Mystery'
9.0,8413.0,53.300710448470724,5629.0,0.3495008837185279,0.16824665184476126,2.4761047509168077,-0.06133590644972587,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,2374.0,33.08226992978809,5654.0,0.558678469983981,-0.277037373734421,0.7269286539814921,2.0229107872035343,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,2176.0,28.57222069501584,5618.0,1.1862112287803408,0.926108871322436,1.8488080332293586,1.9534358974150925,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,680.0,25.006922850884987,5647.0,0.4192267458070127,-0.3038183698868494,-0.38741133055258925,0.9807874403769042,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,2659.0,18.03528208564343,5593.0,1.046759504603372,0.8705482972151593,1.848675730682104,0.5639381016462522,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,2940.0,14.091978410517871,5576.0,0.1403232974530748,-0.3869593728675226,-0.38508181294528426,0.5292006567520312,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,8411.0,11.697762712461488,4950.0,0.3495008837185279,4.3212996372735795,5.3869901014279185,0.4597257669635892,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,2964.0,9.817436710239654,5638.0,0.4889526078954968,-0.07238259716661014,0.41526515076464393,0.21656365270404218,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,8454.0,10.48114427634969,5647.0,-1.5330973926705511,-0.4968813720006241,-0.38741133055258925,-0.09607335134394687,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,517.0,11.066809494125302,5489.0,0.0008715732761058816,-0.5200649209086964,-0.38741133055258925,-0.3739729104977149,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
