Fecha,Moneda,Tasa de cambio vs USD,Media Movil (7d),Desviacion Std (7d)
2012-01-01,AUD,13.72,,
2012-01-01,GBP,52.3487,,
2012-01-01,CAD,28.4053,,
2012-01-01,INR,99.4465,,
2012-01-01,JPY,6.4921,,
2012-01-02,AUD,43.0232,,
2012-01-02,GBP,74.1313,,
2012-01-02,CAD,36.0011,,
2012-01-02,INR,9.0698,,
2012-01-02,JPY,4.1835,,
2012-01-03,AUD,36.4566,,
2012-01-03,GBP,48.5269,,
2012-01-03,CAD,41.4737,,
2012-01-03,INR,75.5857,,
2012-01-03,JPY,88.7415,,
2012-01-04,AUD,4.4179,,
2012-01-04,GBP,87.3988,,
2012-01-04,CAD,5.2346,,
2012-01-04,INR,1.8668,,
2012-01-04,JPY,41.1509,,
2012-01-05,AUD,55.949,,
2012-01-05,GBP,46.5755,,
2012-01-05,CAD,6.5321,,
2012-01-05,INR,38.1763,,
2012-01-05,JPY,23.573,,
2012-01-06,AUD,86.9303,,
2012-01-06,GBP,68.7794,,
2012-01-06,CAD,99.6337,,
2012-01-06,INR,70.0348,,
2012-01-06,JPY,79.3458,,
2012-01-07,AUD,74.0031,44.92858571428572,30.059433990314844
2012-01-07,GBP,86.7541,66.35924285714285,17.46691844524549
2012-01-07,CAD,29.3014,35.22598571428572,31.60282993501418
2012-01-07,INR,71.6282,52.258300000000006,36.66274975312135
2012-01-07,JPY,19.0774,37.509171428571435,34.14411451557034
2012-01-08,AUD,71.6473,53.20391428571428,27.934339264748957
2012-01-08,GBP,21.5172,61.95474285714285,24.18427724279124
2012-01-08,CAD,62.1855,40.05172857142857,32.93861021520258
2012-01-08,INR,43.2042,44.22368571428571,30.189149919821006
2012-01-08,JPY,32.9119,41.28342857142858,31.502075069309022
2012-01-09,AUD,59.1987,55.514700000000005,27.619064246217082
2012-01-09,GBP,19.3838,54.13367142857142,28.12207945842046
2012-01-09,CAD,90.1161,47.78244285714285,37.818422205315805
2012-01-09,INR,18.5809,45.582414285714286,28.510648339256722
2012-01-09,JPY,26.6323,44.49040000000001,28.04919074958611
2012-01-10,AUD,21.7518,53.414014285714295,29.78452712547398
2012-01-10,GBP,20.4435,50.12175714285714,30.919335077415933
2012-01-10,CAD,22.705,45.1012,38.987504001496
2012-01-10,INR,5.2415,35.53324285714286,28.56989586755362
2012-01-10,JPY,79.5747,43.18085714285714,25.75942076230605
2012-01-11,AUD,57.5816,61.00882857142857,20.55759982696702
2012-01-11,GBP,85.1779,49.80448571428571,30.4813666838955
2012-01-11,CAD,77.1911,55.3807,36.103766780166666
2012-01-11,INR,1.8616,35.5325,28.570917187121125
2012-01-11,JPY,59.1826,45.75681428571429,26.415818209640264
2012-01-12,AUD,98.5546,67.09534285714285,24.699706333669717
2012-01-12,GBP,6.437,44.07041428571428,34.67669181623435
2012-01-12,CAD,39.6311,60.10912857142858,30.348667667665094
2012-01-12,INR,32.5001,34.72161428571429,28.563925020056832
2012-01-12,JPY,30.6846,46.77275714285714,25.542767267523253
2012-01-13,AUD,95.9031,68.37717142857143,26.09410122727065
2012-01-13,GBP,52.8966,41.80144285714285,33.282046440829376
2012-01-13,CAD,81.1083,57.46264285714285,26.94437487008232
2012-01-13,INR,48.1112,31.589671428571428,25.02992653203456
2012-01-13,JPY,32.4456,40.07272857142857,21.38780567252551
2012-01-14,AUD,12.1169,59.53628571428571,33.34629154940764
2012-01-14,GBP,8.9695,30.68935714285714,28.398983658038247
2012-01-14,CAD,70.0267,63.280542857142855,24.096542741636682
2012-01-14,INR,42.3189,27.402628571428572,18.922194259450485
2012-01-14,JPY,82.5447,49.13948571428572,24.263317059945226
2012-01-15,AUD,65.36,58.6381,33.04906145566012
2012-01-15,GBP,15.7454,29.864814285714285,28.790762201409237
2012-01-15,CAD,68.8881,64.23805714285714,24.178806062324988
2012-01-15,INR,94.7592,34.767628571428574,31.769513933838855
2012-01-15,JPY,40.1071,50.16737142857143,23.604748599926136
2012-01-16,AUD,19.7132,52.997314285714275,36.16063029946742
2012-01-16,GBP,8.0488,28.24552857142857,29.780251129773575
2012-01-16,CAD,89.3137,64.12342857142856,24.037161369479147
2012-01-16,INR,52.3249,39.58820000000001,31.46266128137712
2012-01-16,JPY,91.9273,59.49522857142857,25.573536301530826
2012-01-17,AUD,44.5814,56.25868571428571,33.827101430284586
2012-01-17,GBP,39.3249,30.942871428571426,29.81087988222388
2012-01-17,CAD,7.0917,61.89295714285714,28.777935932403555
2012-01-17,INR,69.9108,48.82667142857143,29.102442964335165
2012-01-17,JPY,23.2339,51.44654285714285,27.02549394743522
2012-01-18,AUD,39.8906,53.7314,34.36832520218774
2012-01-18,GBP,1.2174,18.948514285714282,19.438983429904315
2012-01-18,CAD,91.2085,63.89544285714286,30.458484899004034
2012-01-18,INR,69.0516,58.42524285714285,20.97663345287301
2012-01-18,JPY,2.2382,43.31162857142857,32.353878057594805
2012-01-19,AUD,18.2311,42.256614285714285,30.045930824735006
2012-01-19,GBP,51.901,25.443371428571428,21.98973472863449
2012-01-19,CAD,2.7464,58.6262,37.68821318860845
2012-01-19,INR,89.3887,66.55218571428571,20.266586420134065
2012-01-19,JPY,22.5039,42.14295714285715,33.02675612186061
2012-01-20,AUD,48.2134,35.4438,19.361407282960243
